author;publication_count;latest_year;main_affiliation;topics;profile_text
Mehwish Kiran;1;2021;Gomal University;starch-based materials;Mehwish Kiran is a researcher affiliated with Gomal University. They have 1 publication(s) in this database, with the most recent work from 2021. Their research topics include: starch-based materials.
Kashif Waseem;1;2021;Gomal University;starch-based materials;Kashif Waseem is a researcher affiliated with Gomal University. They have 1 publication(s) in this database, with the most recent work from 2021. Their research topics include: starch-based materials.
Tariq Aziz;1;2021;Zhejiang University;starch-based materials;Tariq Aziz is a researcher affiliated with Zhejiang University. They have 1 publication(s) in this database, with the most recent work from 2021. Their research topics include: starch-based materials.
Arshad Farid;1;2021;Gomal University;starch-based materials;Arshad Farid is a researcher affiliated with Gomal University. They have 1 publication(s) in this database, with the most recent work from 2021. Their research topics include: starch-based materials.
Társila Rodrigues Arruda;1;2025;Technical University of Munich;starch-based materials;Társila Rodrigues Arruda is a researcher affiliated with Technical University of Munich. They have 1 publication(s) in this database, with the most recent work from 2025. Their research topics include: starch-based materials.
Gabriela de Oliveira Machado;1;2025;Universidade Federal de Viçosa;starch-based materials;Gabriela de Oliveira Machado is a researcher affiliated with Universidade Federal de Viçosa. They have 1 publication(s) in this database, with the most recent work from 2025. Their research topics include: starch-based materials.
Clara Suprani Marques;1;2025;Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso;starch-based materials;Clara Suprani Marques is a researcher affiliated with Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso. They have 1 publication(s) in this database, with the most recent work from 2025. Their research topics include: starch-based materials.
Amanda Lélis de Souza;1;2025;Universidade Federal de Viçosa;starch-based materials;Amanda Lélis de Souza is a researcher affiliated with Universidade Federal de Viçosa. They have 1 publication(s) in this database, with the most recent work from 2025. Their research topics include: starch-based materials.
Franciele Maria Pelissari;1;2025;Universidade Federal dos Vales do Jequitinhonha e Mucuri;starch-based materials;Franciele Maria Pelissari is a researcher affiliated with Universidade Federal dos Vales do Jequitinhonha e Mucuri. They have 1 publication(s) in this database, with the most recent work from 2025. Their research topics include: starch-based materials.
Taíla Veloso de Oliveira;1;2025;Universidade Federal de Viçosa;starch-based materials;Taíla Veloso de Oliveira is a researcher affiliated with Universidade Federal de Viçosa. They have 1 publication(s) in this database, with the most recent work from 2025. Their research topics include: starch-based materials.
