author;publication_count;latest_year;main_affiliation;topics;profile_text
Bo Cui;1;2020;Qilu University of Technology;starch-based materials;Bo Cui is a researcher affiliated with Qilu University of Technology. They have 1 publication(s) in this database, with the most recent work from 2020. Their research topics include: starch-based materials.
Edaena Pamela Díaz-Galindo;1;2020;Universidad Autónoma del Estado de México;starch-based materials;Edaena Pamela Díaz-Galindo is a researcher affiliated with Universidad Autónoma del Estado de México. They have 1 publication(s) in this database, with the most recent work from 2020. Their research topics include: starch-based materials.
Aleksandra Nešić;1;2020;University of Concepción;starch-based materials;Aleksandra Nešić is a researcher affiliated with University of Concepción. They have 1 publication(s) in this database, with the most recent work from 2020. Their research topics include: starch-based materials.
Silvia Bautista‐Baños;1;2020;Instituto Politécnico Nacional;starch-based materials;Silvia Bautista‐Baños is a researcher affiliated with Instituto Politécnico Nacional. They have 1 publication(s) in this database, with the most recent work from 2020. Their research topics include: starch-based materials.
Octavio Dublán‐García;1;2020;Universidad Autónoma del Estado de México;starch-based materials;Octavio Dublán‐García is a researcher affiliated with Universidad Autónoma del Estado de México. They have 1 publication(s) in this database, with the most recent work from 2020. Their research topics include: starch-based materials.
Naycari Forfora;1;2024;North Carolina State University;starch-based materials;Naycari Forfora is a researcher affiliated with North Carolina State University. They have 1 publication(s) in this database, with the most recent work from 2024. Their research topics include: starch-based materials.
Ivana Azuaje;1;2024;North Carolina State University;starch-based materials;Ivana Azuaje is a researcher affiliated with North Carolina State University. They have 1 publication(s) in this database, with the most recent work from 2024. Their research topics include: starch-based materials.
TAYLOR A. KANIPE;1;2024;North Carolina State University;starch-based materials;TAYLOR A. KANIPE is a researcher affiliated with North Carolina State University. They have 1 publication(s) in this database, with the most recent work from 2024. Their research topics include: starch-based materials.
Jose A. Gonzalez;1;2024;North Carolina State University;starch-based materials;Jose A. Gonzalez is a researcher affiliated with North Carolina State University. They have 1 publication(s) in this database, with the most recent work from 2024. Their research topics include: starch-based materials.
Mariana Lendewig;1;2024;North Carolina State University;starch-based materials;Mariana Lendewig is a researcher affiliated with North Carolina State University. They have 1 publication(s) in this database, with the most recent work from 2024. Their research topics include: starch-based materials.
Isabel Urdaneta;1;2024;North Carolina State University;starch-based materials;Isabel Urdaneta is a researcher affiliated with North Carolina State University. They have 1 publication(s) in this database, with the most recent work from 2024. Their research topics include: starch-based materials.
Richard A. Venditti;1;2024;North Carolina State University;starch-based materials;Richard A. Venditti is a researcher affiliated with North Carolina State University. They have 1 publication(s) in this database, with the most recent work from 2024. Their research topics include: starch-based materials.
Ronalds González;1;2024;North Carolina State University;starch-based materials;Ronalds González is a researcher affiliated with North Carolina State University. They have 1 publication(s) in this database, with the most recent work from 2024. Their research topics include: starch-based materials.
Dimitris S. Argyropoulos;1;2024;North Carolina State University;starch-based materials;Dimitris S. Argyropoulos is a researcher affiliated with North Carolina State University. They have 1 publication(s) in this database, with the most recent work from 2024. Their research topics include: starch-based materials.
